Species_Name,Region,Breeding_Season,Fishing_Method,Fish_Population,Average_Size,Overfishing_Risk,Water_Temperature,Water_Pollution
Salmon,North Atlantic,Summer,Net,8270,71.92,No,24.68,High
Tuna,Pacific Ocean,Monsoon,Line,1860,85.33,No,21.33,High
Cod,Mediterranean Sea,Summer,Line,6390,88.02,No,16.98,Medium
Herring,Pacific Ocean,Monsoon,Trawl,6191,85.46,Yes,28.51,Low
Herring,Indian Ocean,Monsoon,Trawl,6734,48.35,Yes,25.37,Low
Mackerel,Mediterranean Sea,Monsoon,Net,7265,30.03,No,25.25,Medium
Salmon,Pacific Ocean,Summer,Line,1466,45.7,Yes,27.34,Low
Salmon,Pacific Ocean,Summer,Trawl,5426,90.27,No,22.94,Low
Sardine,Mediterranean Sea,Winter,Line,6578,23.19,No,27.23,Medium
Tuna,Pacific Ocean,Summer,Trawl,9322,56.2,No,22.47,High
Tuna,Mediterranean Sea,Summer,Line,2685,30.99,No,16.01,High
Salmon,Pacific Ocean,Monsoon,Net,1769,62.32,Yes,21.08,High
Herring,North Atlantic,Summer,Trawl,7949,87.68,No,22.46,Medium
Herring,Mediterranean Sea,Summer,Net,3433,89.23,Yes,25.8,Medium
Tuna,North Atlantic,Monsoon,Line,6311,31.3,Yes,16.6,Low
Herring,North Atlantic,Summer,Line,6051,91.69,No,17.1,High
Sardine,Pacific Ocean,Monsoon,Net,7420,63.27,No,18.96,Medium
Herring,Indian Ocean,Summer,Line,2184,41.52,Yes,19,Medium
Shark,North Atlantic,Summer,Trawl,5555,73.74,No,25.98,Medium
Cod,North Atlantic,Winter,Trawl,4385,53.35,No,18.76,Low
Tuna,North Atlantic,Summer,Line,7396,44.02,No,24.5,Medium
Mackerel,Indian Ocean,Monsoon,Line,9666,73.46,Yes,22.41,High
Sardine,Indian Ocean,Summer,Line,3558,32.39,Yes,23.6,Medium
Snapper,North Atlantic,Winter,Line,8849,39.72,Yes,27.57,Medium
Cod,Indian Ocean,Summer,Trawl,3047,49.1,No,21.07,Low
Mackerel,Indian Ocean,Summer,Trawl,3747,32.83,No,26.56,High
Herring,Indian Ocean,Monsoon,Line,1189,46.47,No,21.33,High
Snapper,Mediterranean Sea,Winter,Net,3734,61.43,No,20.31,High
Salmon,North Atlantic,Summer,Net,4005,76.69,Yes,29.38,Medium
Salmon,Indian Ocean,Summer,Trawl,5658,79.05,Yes,17.77,Low
Sardine,Mediterranean Sea,Monsoon,Net,2899,84.05,No,16.36,High
Salmon,Pacific Ocean,Summer,Line,8734,76.98,Yes,26.56,Medium
Snapper,Pacific Ocean,Summer,Net,2267,71.29,Yes,16.02,Low
Snapper,Indian Ocean,Summer,Trawl,2528,31.38,Yes,27.56,High
Cod,North Atlantic,Winter,Line,4556,46.02,Yes,21.56,Low
Tuna,Indian Ocean,Summer,Line,4890,52.99,No,28.73,Low
Shark,Pacific Ocean,Monsoon,Trawl,9838,17.46,No,25.82,Medium
Salmon,North Atlantic,Winter,Net,6393,57.55,No,24.16,Low
Sardine,North Atlantic,Summer,Trawl,9792,49.27,Yes,29.24,Medium
